_id,count,dayWeek,days,hours
"{'day': 1, 'hour': 0}",238.0,1.0,1,0
"{'day': 1, 'hour': 1}",195.0,1.0,1,1
"{'day': 1, 'hour': 2}",152.0,1.0,1,2
"{'day': 1, 'hour': 3}",105.0,1.0,1,3
"{'day': 1, 'hour': 4}",87.0,1.0,1,4
"{'day': 1, 'hour': 5}",34.0,1.0,1,5
"{'day': 1, 'hour': 6}",41.0,1.0,1,6
"{'day': 1, 'hour': 7}",30.0,1.0,1,7
"{'day': 1, 'hour': 8}",59.0,1.0,1,8
"{'day': 1, 'hour': 9}",87.0,1.0,1,9
"{'day': 1, 'hour': 10}",139.0,1.0,1,10
"{'day': 1, 'hour': 11}",176.0,1.0,1,11
"{'day': 1, 'hour': 12}",209.0,1.0,1,12
"{'day': 1, 'hour': 13}",228.0,1.0,1,13
"{'day': 1, 'hour': 14}",278.0,1.0,1,14
"{'day': 1, 'hour': 15}",223.0,1.0,1,15
"{'day': 1, 'hour': 16}",271.0,1.0,1,16
"{'day': 1, 'hour': 17}",295.0,1.0,1,17
"{'day': 1, 'hour': 18}",252.0,1.0,1,18
"{'day': 1, 'hour': 19}",264.0,1.0,1,19
"{'day': 1, 'hour': 20}",293.0,1.0,1,20
"{'day': 1, 'hour': 21}",224.0,1.0,1,21
"{'day': 1, 'hour': 22}",250.0,1.0,1,22
"{'day': 1, 'hour': 23}",175.0,1.0,1,23
"{'day': 2, 'hour': 0}",101.0,2.0,2,0
"{'day': 2, 'hour': 1}",52.0,2.0,2,1
"{'day': 2, 'hour': 2}",43.0,2.0,2,2
"{'day': 2, 'hour': 3}",56.0,2.0,2,3
"{'day': 2, 'hour': 4}",32.0,2.0,2,4
"{'day': 2, 'hour': 5}",29.0,2.0,2,5
"{'day': 2, 'hour': 6}",65.0,2.0,2,6
"{'day': 2, 'hour': 7}",256.0,2.0,2,7
"{'day': 2, 'hour': 8}",84.0,2.0,2,8
"{'day': 2, 'hour': 9}",297.75,,2,9
"{'day': 2, 'hour': 10}",231.25,,2,10
"{'day': 2, 'hour': 11}",226.0,,2,11
"{'day': 2, 'hour': 12}",250.0,,2,12
"{'day': 2, 'hour': 13}",345.5,,2,13
"{'day': 2, 'hour': 14}",357.25,,2,14
"{'day': 2, 'hour': 15}",348.5,,2,15
"{'day': 2, 'hour': 16}",25.0,2.0,2,16
"{'day': 2, 'hour': 17}",321.0,2.0,2,17
"{'day': 2, 'hour': 18}",343.0,2.0,2,18
"{'day': 2, 'hour': 19}",354.0,2.0,2,19
"{'day': 2, 'hour': 20}",361.0,2.0,2,20
"{'day': 2, 'hour': 21}",268.0,2.0,2,21
"{'day': 2, 'hour': 22}",200.0,2.0,2,22
"{'day': 2, 'hour': 23}",152.0,2.0,2,23
"{'day': 3, 'hour': 0}",85.0,3.0,3,0
"{'day': 3, 'hour': 1}",58.0,3.0,3,1
"{'day': 3, 'hour': 2}",44.0,3.0,3,2
"{'day': 3, 'hour': 3}",41.0,3.0,3,3
"{'day': 3, 'hour': 4}",35.0,3.0,3,4
"{'day': 3, 'hour': 5}",22.0,3.0,3,5
"{'day': 3, 'hour': 6}",65.0,3.0,3,6
"{'day': 3, 'hour': 7}",260.0,3.0,3,7
"{'day': 3, 'hour': 8}",345.0,3.0,3,8
"{'day': 3, 'hour': 9}",296.0,3.0,3,9
"{'day': 3, 'hour': 10}",242.0,3.0,3,10
"{'day': 3, 'hour': 11}",235.0,3.0,3,11
"{'day': 3, 'hour': 12}",275.0,3.0,3,12
"{'day': 3, 'hour': 13}",355.0,3.0,3,13
"{'day': 3, 'hour': 14}",377.0,3.0,3,14
"{'day': 3, 'hour': 15}",362.0,3.0,3,15
"{'day': 3, 'hour': 16}",353.0,3.0,3,16
"{'day': 3, 'hour': 17}",338.0,3.0,3,17
"{'day': 3, 'hour': 18}",342.0,3.0,3,18
"{'day': 3, 'hour': 19}",366.0,3.0,3,19
"{'day': 3, 'hour': 20}",365.0,3.0,3,20
"{'day': 3, 'hour': 21}",289.0,3.0,3,21
"{'day': 3, 'hour': 22}",208.0,3.0,3,22
"{'day': 3, 'hour': 23}",186.0,3.0,3,23
"{'day': 4, 'hour': 0}",121.0,4.0,4,0
"{'day': 4, 'hour': 1}",72.0,4.0,4,1
"{'day': 4, 'hour': 2}",48.0,4.0,4,2
"{'day': 4, 'hour': 3}",55.0,4.0,4,3
"{'day': 4, 'hour': 4}",43.0,4.0,4,4
