_id,count,dayWeek,days,hours
"{'day': 1, 'hour': 0}",73.0,1.0,1,0
"{'day': 1, 'hour': 1}",46.0,1.0,1,1
"{'day': 1, 'hour': 2}",26.0,1.0,1,2
"{'day': 1, 'hour': 3}",20.0,1.0,1,3
"{'day': 1, 'hour': 4}",17.0,1.0,1,4
"{'day': 1, 'hour': 5}",17.0,1.0,1,5
"{'day': 1, 'hour': 6}",15.0,1.0,1,6
"{'day': 1, 'hour': 7}",36.0,1.0,1,7
"{'day': 1, 'hour': 8}",55.0,1.0,1,8
"{'day': 1, 'hour': 9}",103.0,1.0,1,9
"{'day': 1, 'hour': 10}",98.0,1.0,1,10
"{'day': 1, 'hour': 11}",136.0,1.0,1,11
"{'day': 1, 'hour': 12}",146.0,1.0,1,12
"{'day': 1, 'hour': 13}",123.0,1.0,1,13
"{'day': 1, 'hour': 14}",147.0,1.0,1,14
"{'day': 1, 'hour': 15}",146.0,1.0,1,15
"{'day': 1, 'hour': 16}",149.0,1.0,1,16
"{'day': 1, 'hour': 17}",138.0,1.0,1,17
"{'day': 1, 'hour': 18}",143.0,1.0,1,18
"{'day': 1, 'hour': 19}",115.0,1.0,1,19
"{'day': 1, 'hour': 20}",87.0,1.0,1,20
"{'day': 1, 'hour': 21}",77.0,1.0,1,21
"{'day': 1, 'hour': 22}",85.0,1.0,1,22
"{'day': 1, 'hour': 23}",43.0,1.0,1,23
"{'day': 2, 'hour': 0}",35.0,2.0,2,0
"{'day': 2, 'hour': 1}",23.0,2.0,2,1
"{'day': 2, 'hour': 2}",2.0,2.0,2,2
"{'day': 2, 'hour': 3}",8.5,,2,3
"{'day': 2, 'hour': 4}",8.25,,2,4
"{'day': 2, 'hour': 5}",13.0,,2,5
"{'day': 2, 'hour': 6}",25.75,,2,6
"{'day': 2, 'hour': 7}",44.0,,2,7
"{'day': 2, 'hour': 8}",57.5,,2,8
"{'day': 2, 'hour': 9}",62.25,,2,9
"{'day': 2, 'hour': 10}",2.0,2.0,2,10
"{'day': 2, 'hour': 11}",43.0,2.0,2,11
"{'day': 2, 'hour': 12}",46.0,2.0,2,12
"{'day': 2, 'hour': 13}",48.0,2.0,2,13
"{'day': 2, 'hour': 14}",48.0,2.0,2,14
"{'day': 2, 'hour': 15}",64.0,2.0,2,15
"{'day': 2, 'hour': 16}",62.0,2.0,2,16
"{'day': 2, 'hour': 17}",68.0,2.0,2,17
"{'day': 2, 'hour': 18}",114.0,2.0,2,18
"{'day': 2, 'hour': 19}",116.0,2.0,2,19
"{'day': 2, 'hour': 20}",99.0,2.0,2,20
"{'day': 2, 'hour': 21}",88.0,2.0,2,21
"{'day': 2, 'hour': 22}",72.0,2.0,2,22
"{'day': 2, 'hour': 23}",48.0,2.0,2,23
"{'day': 3, 'hour': 0}",31.0,3.0,3,0
"{'day': 3, 'hour': 1}",18.0,3.0,3,1
"{'day': 3, 'hour': 2}",11.0,3.0,3,2
"{'day': 3, 'hour': 3}",1.0,3.0,3,3
"{'day': 3, 'hour': 4}",6.0,3.0,3,4
"{'day': 3, 'hour': 5}",15.0,3.0,3,5
"{'day': 3, 'hour': 6}",33.0,3.0,3,6
"{'day': 3, 'hour': 7}",40.0,3.0,3,7
"{'day': 3, 'hour': 8}",39.0,3.0,3,8
"{'day': 3, 'hour': 9}",43.0,3.0,3,9
"{'day': 3, 'hour': 10}",48.0,3.0,3,10
"{'day': 3, 'hour': 11}",50.0,3.0,3,11
"{'day': 3, 'hour': 12}",48.0,3.0,3,12
"{'day': 3, 'hour': 13}",49.0,3.0,3,13
"{'day': 3, 'hour': 14}",46.0,3.0,3,14
"{'day': 3, 'hour': 15}",51.0,3.0,3,15
"{'day': 3, 'hour': 16}",52.0,3.0,3,16
"{'day': 3, 'hour': 17}",84.0,3.0,3,17
"{'day': 3, 'hour': 18}",110.0,3.0,3,18
"{'day': 3, 'hour': 19}",120.0,3.0,3,19
"{'day': 3, 'hour': 20}",93.0,3.0,3,20
"{'day': 3, 'hour': 21}",88.0,3.0,3,21
"{'day': 3, 'hour': 22}",56.0,3.0,3,22
"{'day': 3, 'hour': 23}",46.0,3.0,3,23
