_id,count,dayWeek,days,hours
"{'day': 1, 'hour': 0}",88.0,1.0,1,0
"{'day': 1, 'hour': 1}",79.0,1.0,1,1
"{'day': 1, 'hour': 2}",60.0,1.0,1,2
"{'day': 1, 'hour': 3}",33.0,1.0,1,3
"{'day': 1, 'hour': 4}",22.0,1.0,1,4
"{'day': 1, 'hour': 5}",22.0,1.0,1,5
"{'day': 1, 'hour': 6}",27.0,1.0,1,6
"{'day': 1, 'hour': 7}",22.0,1.0,1,7
"{'day': 1, 'hour': 8}",35.0,1.0,1,8
"{'day': 1, 'hour': 9}",47.0,1.0,1,9
"{'day': 1, 'hour': 10}",78.0,1.0,1,10
"{'day': 1, 'hour': 11}",88.0,1.0,1,11
"{'day': 1, 'hour': 12}",113.0,1.0,1,12
"{'day': 1, 'hour': 13}",86.0,1.0,1,13
"{'day': 1, 'hour': 14}",91.0,1.0,1,14
"{'day': 1, 'hour': 15}",87.0,1.0,1,15
"{'day': 1, 'hour': 16}",103.0,1.0,1,16
"{'day': 1, 'hour': 17}",126.0,1.0,1,17
"{'day': 1, 'hour': 18}",109.0,1.0,1,18
"{'day': 1, 'hour': 19}",120.0,1.0,1,19
"{'day': 1, 'hour': 20}",86.0,1.0,1,20
"{'day': 1, 'hour': 21}",80.0,1.0,1,21
"{'day': 1, 'hour': 22}",65.0,1.0,1,22
"{'day': 1, 'hour': 23}",69.0,1.0,1,23
"{'day': 2, 'hour': 0}",33.0,2.0,2,0
"{'day': 2, 'hour': 1}",18.0,2.0,2,1
"{'day': 2, 'hour': 2}",6.0,2.0,2,2
"{'day': 2, 'hour': 3}",5.75,,2,3
"{'day': 2, 'hour': 4}",17.0,2.0,2,4
"{'day': 2, 'hour': 5}",31.0,2.0,2,5
"{'day': 2, 'hour': 6}",42.0,2.0,2,6
"{'day': 2, 'hour': 7}",106.0,2.0,2,7
"{'day': 2, 'hour': 8}",56.0,2.0,2,8
"{'day': 2, 'hour': 9}",140.5,,2,9
"{'day': 2, 'hour': 10}",121.0,,2,10
"{'day': 2, 'hour': 11}",97.5,,2,11
"{'day': 2, 'hour': 12}",137.0,,2,12
"{'day': 2, 'hour': 13}",126.25,,2,13
"{'day': 2, 'hour': 14}",132.0,,2,14
"{'day': 2, 'hour': 15}",118.75,,2,15
"{'day': 2, 'hour': 16}",7.0,2.0,2,16
"{'day': 2, 'hour': 17}",153.0,2.0,2,17
"{'day': 2, 'hour': 18}",175.0,2.0,2,18
"{'day': 2, 'hour': 19}",156.0,2.0,2,19
"{'day': 2, 'hour': 20}",146.0,2.0,2,20
"{'day': 2, 'hour': 21}",106.0,2.0,2,21
"{'day': 2, 'hour': 22}",87.0,2.0,2,22
"{'day': 2, 'hour': 23}",81.0,2.0,2,23
"{'day': 3, 'hour': 0}",53.0,3.0,3,0
"{'day': 3, 'hour': 1}",19.0,3.0,3,1
"{'day': 3, 'hour': 2}",7.0,3.0,3,2
"{'day': 3, 'hour': 3}",5.0,3.0,3,3
"{'day': 3, 'hour': 4}",11.0,3.0,3,4
"{'day': 3, 'hour': 5}",18.0,3.0,3,5
"{'day': 3, 'hour': 6}",56.0,3.0,3,6
"{'day': 3, 'hour': 7}",119.0,3.0,3,7
"{'day': 3, 'hour': 8}",179.0,3.0,3,8
"{'day': 3, 'hour': 9}",160.0,3.0,3,9
"{'day': 3, 'hour': 10}",125.0,3.0,3,10
"{'day': 3, 'hour': 11}",120.0,3.0,3,11
"{'day': 3, 'hour': 12}",116.0,3.0,3,12
"{'day': 3, 'hour': 13}",135.0,3.0,3,13
"{'day': 3, 'hour': 14}",145.0,3.0,3,14
"{'day': 3, 'hour': 15}",136.0,3.0,3,15
"{'day': 3, 'hour': 16}",143.0,3.0,3,16
"{'day': 3, 'hour': 17}",171.0,3.0,3,17
"{'day': 3, 'hour': 18}",166.0,3.0,3,18
"{'day': 3, 'hour': 19}",172.0,3.0,3,19
"{'day': 3, 'hour': 20}",137.0,3.0,3,20
"{'day': 3, 'hour': 21}",90.0,3.0,3,21
"{'day': 3, 'hour': 22}",90.0,3.0,3,22
"{'day': 3, 'hour': 23}",80.0,3.0,3,23
"{'day': 4, 'hour': 0}",58.0,4.0,4,0
"{'day': 4, 'hour': 1}",26.0,4.0,4,1
"{'day': 4, 'hour': 2}",13.0,4.0,4,2
"{'day': 4, 'hour': 3}",7.0,4.0,4,3
"{'day': 4, 'hour': 4}",13.0,4.0,4,4
"{'day': 4, 'hour': 5}",13.0,4.0,4,5
"{'day': 4, 'hour': 6}",31.0,4.0,4,6
"{'day': 4, 'hour': 7}",131.0,4.0,4,7
"{'day': 4, 'hour': 8}",182.0,4.0,4,8
"{'day': 4, 'hour': 9}",166.0,4.0,4,9
"{'day': 4, 'hour': 10}",96.0,4.0,4,10
"{'day': 4, 'hour': 11}",101.0,4.0,4,11
"{'day': 4, 'hour': 12}",136.0,4.0,4,12
"{'day': 4, 'hour': 13}",134.0,4.0,4,13
"{'day': 4, 'hour': 14}",131.0,4.0,4,14
"{'day': 4, 'hour': 15}",20.0,4.0,4,15
"{'day': 4, 'hour': 16}",152.0,,4,16
"{'day': 4, 'hour': 17}",50.0,4.0,4,17
"{'day': 4, 'hour': 18}",186.0,4.0,4,18
"{'day': 4, 'hour': 19}",169.0,4.0,4,19
"{'day': 4, 'hour': 20}",132.0,4.0,4,20
"{'day': 4, 'hour': 21}",103.0,4.0,4,21
"{'day': 4, 'hour': 22}",93.0,4.0,4,22
"{'day': 4, 'hour': 23}",81.0,4.0,4,23
"{'day': 5, 'hour': 0}",59.0,5.0,5,0
"{'day': 5, 'hour': 1}",29.0,5.0,5,1
"{'day': 5, 'hour': 2}",12.0,5.0,5,2
"{'day': 5, 'hour': 3}",11.0,5.0,5,3
"{'day': 5, 'hour': 4}",7.0,5.0,5,4
"{'day': 5, 'hour': 5}",30.0,5.0,5,5
"{'day': 5, 'hour': 6}",37.0,5.0,5,6
"{'day': 5, 'hour': 7}",106.0,5.0,5,7
"{'day': 5, 'hour': 8}",198.0,5.0,5,8
"{'day': 5, 'hour': 9}",161.0,5.0,5,9
"{'day': 5, 'hour': 10}",117.0,5.0,5,10
"{'day': 5, 'hour': 11}",115.0,5.0,5,11
"{'day': 5, 'hour': 12}",141.0,5.0,5,12
"{'day': 5, 'hour': 13}",151.0,5.0,5,13
"{'day': 5, 'hour': 14}",119.0,5.0,5,14
"{'day': 5, 'hour': 15}",135.0,5.0,5,15
"{'day': 5, 'hour': 16}",140.0,5.0,5,16
"{'day': 5, 'hour': 17}",171.0,5.0,5,17
"{'day': 5, 'hour': 18}",168.0,5.0,5,18
"{'day': 5, 'hour': 19}",165.0,5.0,5,19
"{'day': 5, 'hour': 20}",141.0,5.0,5,20
"{'day': 5, 'hour': 21}",124.0,5.0,5,21
"{'day': 5, 'hour': 22}",106.0,5.0,5,22
"{'day': 5, 'hour': 23}",97.0,5.0,5,23
"{'day': 6, 'hour': 0}",82.0,6.0,6,0
"{'day': 6, 'hour': 1}",42.0,6.0,6,1
"{'day': 6, 'hour': 2}",18.0,6.0,6,2
"{'day': 6, 'hour': 3}",18.0,6.0,6,3
"{'day': 6, 'hour': 4}",13.0,6.0,6,4
"{'day': 6, 'hour': 5}",30.0,6.0,6,5
"{'day': 6, 'hour': 6}",45.0,6.0,6,6
"{'day': 6, 'hour': 7}",119.0,6.0,6,7
"{'day': 6, 'hour': 8}",173.0,6.0,6,8
"{'day': 6, 'hour': 9}",155.0,6.0,6,9
"{'day': 6, 'hour': 10}",109.0,6.0,6,10
"{'day': 6, 'hour': 11}",129.0,6.0,6,11
"{'day': 6, 'hour': 12}",146.0,6.0,6,12
"{'day': 6, 'hour': 13}",150.0,6.0,6,13
"{'day': 6, 'hour': 14}",160.0,6.0,6,14
"{'day': 6, 'hour': 15}",161.0,6.0,6,15
"{'day': 6, 'hour': 16}",166.0,6.0,6,16
"{'day': 6, 'hour': 17}",178.0,6.0,6,17
"{'day': 6, 'hour': 18}",169.0,6.0,6,18
"{'day': 6, 'hour': 19}",180.0,6.0,6,19
"{'day': 6, 'hour': 20}",162.0,6.0,6,20
"{'day': 6, 'hour': 21}",123.0,6.0,6,21
"{'day': 6, 'hour': 22}",137.0,6.0,6,22
"{'day': 6, 'hour': 23}",115.0,6.0,6,23
"{'day': 7, 'hour': 0}",109.0,7.0,7,0
"{'day': 7, 'hour': 1}",85.0,7.0,7,1
"{'day': 7, 'hour': 2}",55.0,7.0,7,2
"{'day': 7, 'hour': 3}",37.0,7.0,7,3
"{'day': 7, 'hour': 4}",22.0,7.0,7,4
"{'day': 7, 'hour': 5}",29.0,7.0,7,5
"{'day': 7, 'hour': 6}",31.0,7.0,7,6
"{'day': 7, 'hour': 7}",51.0,7.0,7,7
"{'day': 7, 'hour': 8}",70.0,7.0,7,8
"{'day': 7, 'hour': 9}",102.0,7.0,7,9
"{'day': 7, 'hour': 10}",121.0,7.0,7,10
"{'day': 7, 'hour': 11}",124.0,7.0,7,11
"{'day': 7, 'hour': 12}",118.0,7.0,7,12
"{'day': 7, 'hour': 13}",125.0,7.0,7,13
"{'day': 7, 'hour': 14}",112.0,7.0,7,14
"{'day': 7, 'hour': 15}",118.0,7.0,7,15
"{'day': 7, 'hour': 16}",109.0,7.0,7,16
"{'day': 7, 'hour': 17}",136.0,7.0,7,17
"{'day': 7, 'hour': 18}",135.0,7.0,7,18
"{'day': 7, 'hour': 19}",130.0,7.0,7,19
"{'day': 7, 'hour': 20}",127.0,7.0,7,20
"{'day': 7, 'hour': 21}",109.0,7.0,7,21
"{'day': 7, 'hour': 22}",107.0,7.0,7,22
"{'day': 7, 'hour': 23}",102.0,7.0,7,23
"{'day': 8, 'hour': 0}",97.0,1.0,8,0
"{'day': 8, 'hour': 1}",85.0,1.0,8,1
"{'day': 8, 'hour': 2}",49.0,1.0,8,2
"{'day': 8, 'hour': 3}",36.0,1.0,8,3
"{'day': 8, 'hour': 4}",12.0,1.0,8,4
"{'day': 8, 'hour': 5}",17.0,1.0,8,5
"{'day': 8, 'hour': 6}",19.0,1.0,8,6
"{'day': 8, 'hour': 7}",14.0,1.0,8,7
"{'day': 8, 'hour': 8}",33.0,1.0,8,8
"{'day': 8, 'hour': 9}",41.0,1.0,8,9
"{'day': 8, 'hour': 10}",78.0,1.0,8,10
"{'day': 8, 'hour': 11}",91.0,1.0,8,11
"{'day': 8, 'hour': 12}",117.0,1.0,8,12
"{'day': 8, 'hour': 13}",83.0,1.0,8,13
"{'day': 8, 'hour': 14}",85.0,1.0,8,14
"{'day': 8, 'hour': 15}",87.0,1.0,8,15
"{'day': 8, 'hour': 16}",117.0,1.0,8,16
"{'day': 8, 'hour': 17}",120.0,1.0,8,17
"{'day': 8, 'hour': 18}",122.0,1.0,8,18
"{'day': 8, 'hour': 19}",107.0,1.0,8,19
"{'day': 8, 'hour': 20}",90.0,1.0,8,20
"{'day': 8, 'hour': 21}",83.0,1.0,8,21
"{'day': 8, 'hour': 22}",58.0,1.0,8,22
"{'day': 8, 'hour': 23}",64.0,1.0,8,23
"{'day': 9, 'hour': 0}",39.0,2.0,9,0
"{'day': 9, 'hour': 1}",20.0,2.0,9,1
"{'day': 9, 'hour': 2}",15.0,2.0,9,2
"{'day': 9, 'hour': 3}",4.0,2.0,9,3
"{'day': 9, 'hour': 4}",13.0,2.0,9,4
"{'day': 9, 'hour': 5}",29.0,2.0,9,5
"{'day': 9, 'hour': 6}",46.0,2.0,9,6
"{'day': 9, 'hour': 7}",100.0,2.0,9,7
"{'day': 9, 'hour': 8}",149.0,2.0,9,8
"{'day': 9, 'hour': 9}",151.0,2.0,9,9
"{'day': 9, 'hour': 10}",112.0,2.0,9,10
"{'day': 9, 'hour': 11}",83.0,2.0,9,11
"{'day': 9, 'hour': 12}",153.0,2.0,9,12
"{'day': 9, 'hour': 13}",129.0,2.0,9,13
"{'day': 9, 'hour': 14}",118.0,2.0,9,14
"{'day': 9, 'hour': 15}",125.0,2.0,9,15
"{'day': 9, 'hour': 16}",138.0,2.0,9,16
"{'day': 9, 'hour': 17}",185.0,2.0,9,17
"{'day': 9, 'hour': 18}",170.0,2.0,9,18
"{'day': 9, 'hour': 19}",154.0,2.0,9,19
"{'day': 9, 'hour': 20}",130.0,2.0,9,20
"{'day': 9, 'hour': 21}",91.0,2.0,9,21
"{'day': 9, 'hour': 22}",77.0,2.0,9,22
"{'day': 9, 'hour': 23}",71.0,2.0,9,23
"{'day': 10, 'hour': 0}",64.0,3.0,10,0
"{'day': 10, 'hour': 1}",20.0,3.0,10,1
"{'day': 10, 'hour': 2}",9.0,3.0,10,2
"{'day': 10, 'hour': 3}",5.0,3.0,10,3
"{'day': 10, 'hour': 4}",11.0,3.0,10,4
"{'day': 10, 'hour': 5}",23.0,3.0,10,5
"{'day': 10, 'hour': 6}",42.0,3.0,10,6
"{'day': 10, 'hour': 7}",104.0,3.0,10,7
"{'day': 10, 'hour': 8}",196.0,3.0,10,8
"{'day': 10, 'hour': 9}",181.0,3.0,10,9
"{'day': 10, 'hour': 10}",134.0,3.0,10,10
"{'day': 10, 'hour': 11}",113.0,3.0,10,11
"{'day': 10, 'hour': 12}",127.0,3.0,10,12
"{'day': 10, 'hour': 13}",128.0,3.0,10,13
"{'day': 10, 'hour': 14}",139.0,3.0,10,14
"{'day': 10, 'hour': 15}",121.0,3.0,10,15
"{'day': 10, 'hour': 16}",149.0,3.0,10,16
"{'day': 10, 'hour': 17}",161.0,3.0,10,17
"{'day': 10, 'hour': 18}",192.0,3.0,10,18
"{'day': 10, 'hour': 19}",170.0,3.0,10,19
"{'day': 10, 'hour': 20}",140.0,3.0,10,20
"{'day': 10, 'hour': 21}",99.0,3.0,10,21
"{'day': 10, 'hour': 22}",96.0,3.0,10,22
"{'day': 10, 'hour': 23}",91.0,3.0,10,23
"{'day': 11, 'hour': 0}",54.0,4.0,11,0
"{'day': 11, 'hour': 1}",31.0,4.0,11,1
"{'day': 11, 'hour': 2}",12.0,4.0,11,2
"{'day': 11, 'hour': 3}",13.0,4.0,11,3
"{'day': 11, 'hour': 4}",13.0,4.0,11,4
"{'day': 11, 'hour': 5}",14.0,4.0,11,5
"{'day': 11, 'hour': 6}",53.0,4.0,11,6
"{'day': 11, 'hour': 7}",116.0,4.0,11,7
"{'day': 11, 'hour': 8}",199.0,4.0,11,8
"{'day': 11, 'hour': 9}",158.0,4.0,11,9
"{'day': 11, 'hour': 10}",109.0,4.0,11,10
"{'day': 11, 'hour': 11}",122.0,4.0,11,11
"{'day': 11, 'hour': 12}",132.0,4.0,11,12
"{'day': 11, 'hour': 13}",140.0,4.0,11,13
"{'day': 11, 'hour': 14}",143.0,4.0,11,14
"{'day': 11, 'hour': 15}",135.0,4.0,11,15
"{'day': 11, 'hour': 16}",127.0,4.0,11,16
"{'day': 11, 'hour': 17}",181.0,4.0,11,17
"{'day': 11, 'hour': 18}",189.0,4.0,11,18
"{'day': 11, 'hour': 19}",167.0,4.0,11,19
"{'day': 11, 'hour': 20}",158.0,4.0,11,20
"{'day': 11, 'hour': 21}",113.0,4.0,11,21
"{'day': 11, 'hour': 22}",104.0,4.0,11,22
"{'day': 11, 'hour': 23}",97.0,4.0,11,23
"{'day': 12, 'hour': 0}",86.0,5.0,12,0
"{'day': 12, 'hour': 1}",45.0,5.0,12,1
"{'day': 12, 'hour': 2}",20.0,5.0,12,2
"{'day': 12, 'hour': 3}",11.0,5.0,12,3
"{'day': 12, 'hour': 4}",8.0,5.0,12,4
"{'day': 12, 'hour': 5}",23.0,5.0,12,5
"{'day': 12, 'hour': 6}",49.0,5.0,12,6
"{'day': 12, 'hour': 7}",99.0,5.0,12,7
"{'day': 12, 'hour': 8}",181.0,5.0,12,8
"{'day': 12, 'hour': 9}",149.0,5.0,12,9
"{'day': 12, 'hour': 10}",122.0,5.0,12,10
"{'day': 12, 'hour': 11}",127.0,5.0,12,11
"{'day': 12, 'hour': 12}",113.0,5.0,12,12
"{'day': 12, 'hour': 13}",142.0,5.0,12,13
"{'day': 12, 'hour': 14}",158.0,5.0,12,14
"{'day': 12, 'hour': 15}",133.0,5.0,12,15
"{'day': 12, 'hour': 16}",139.0,5.0,12,16
"{'day': 12, 'hour': 17}",153.0,5.0,12,17
"{'day': 12, 'hour': 18}",177.0,5.0,12,18
"{'day': 12, 'hour': 19}",202.0,5.0,12,19
"{'day': 12, 'hour': 20}",149.0,5.0,12,20
"{'day': 12, 'hour': 21}",131.0,5.0,12,21
"{'day': 12, 'hour': 22}",126.0,5.0,12,22
"{'day': 12, 'hour': 23}",98.0,5.0,12,23
"{'day': 13, 'hour': 0}",70.0,6.0,13,0
"{'day': 13, 'hour': 1}",49.0,6.0,13,1
